"ID","Category","Priority","Device / Browser","Test case","Preconditions","Steps","Expected result","Execution status"
"RF-MAN-052","Section movement — Customizer","Critical","Windows Edge","Move Publications right from Content customizer","A two-column resume is open; Publications is enabled and contains a unique heading and detail marker.","Open Content. Locate Publications. Select Move right. Inspect the page, then edit its first detail.","The complete Publications container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-053","Section movement — Customizer","High","Windows Firefox","Move Patents up from Content customizer","A two-column resume is open; Patents is enabled and contains a unique heading and detail marker.","Open Content. Locate Patents. Select Move up. Inspect the page, then edit its first detail.","The complete Patents container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-054","Section movement — Customizer","Medium","macOS Safari","Move Patents down from Content customizer","A two-column resume is open; Patents is enabled and contains a unique heading and detail marker.","Open Content. Locate Patents. Select Move down. Inspect the page, then edit its first detail.","The complete Patents container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-055","Section movement — Customizer","Critical","macOS Chrome","Move Patents left from Content customizer","A two-column resume is open; Patents is enabled and contains a unique heading and detail marker.","Open Content. Locate Patents. Select Move left. Inspect the page, then edit its first detail.","The complete Patents container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-056","Section movement — Customizer","High","Android Chrome","Move Patents right from Content customizer","A two-column resume is open; Patents is enabled and contains a unique heading and detail marker.","Open Content. Locate Patents. Select Move right. Inspect the page, then edit its first detail.","The complete Patents container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-057","Section movement — Customizer","Medium","iPhone Safari","Move References up from Content customizer","A two-column resume is open; References is enabled and contains a unique heading and detail marker.","Open Content. Locate References. Select Move up. Inspect the page, then edit its first detail.","The complete References container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-058","Section movement — Customizer","Critical","iPad Safari","Move References down from Content customizer","A two-column resume is open; References is enabled and contains a unique heading and detail marker.","Open Content. Locate References. Select Move down. Inspect the page, then edit its first detail.","The complete References container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-059","Section movement — Customizer","High","Linux Chrome","Move References left from Content customizer","A two-column resume is open; References is enabled and contains a unique heading and detail marker.","Open Content. Locate References. Select Move left. Inspect the page, then edit its first detail.","The complete References container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-060","Section movement — Customizer","Medium","Tablet Edge","Move References right from Content customizer","A two-column resume is open; References is enabled and contains a unique heading and detail marker.","Open Content. Locate References. Select Move right. Inspect the page, then edit its first detail.","The complete References container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-061","Section movement — Customizer","Critical","Windows Chrome","Move Courses up from Content customizer","A two-column resume is open; Courses is enabled and contains a unique heading and detail marker.","Open Content. Locate Courses. Select Move up. Inspect the page, then edit its first detail.","The complete Courses container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-062","Section movement — Customizer","High","Windows Edge","Move Courses down from Content customizer","A two-column resume is open; Courses is enabled and contains a unique heading and detail marker.","Open Content. Locate Courses. Select Move down. Inspect the page, then edit its first detail.","The complete Courses container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-063","Section movement — Customizer","Medium","Windows Firefox","Move Courses left from Content customizer","A two-column resume is open; Courses is enabled and contains a unique heading and detail marker.","Open Content. Locate Courses. Select Move left. Inspect the page, then edit its first detail.","The complete Courses container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-064","Section movement — Customizer","Critical","macOS Safari","Move Courses right from Content customizer","A two-column resume is open; Courses is enabled and contains a unique heading and detail marker.","Open Content. Locate Courses. Select Move right. Inspect the page, then edit its first detail.","The complete Courses container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-065","Section movement — Customizer","High","macOS Chrome","Move Professional Memberships up from Content customizer","A two-column resume is open; Professional Memberships is enabled and contains a unique heading and detail marker.","Open Content. Locate Professional Memberships. Select Move up. Inspect the page, then edit its first detail.","The complete Professional Memberships container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-066","Section movement — Customizer","Medium","Android Chrome","Move Professional Memberships down from Content customizer","A two-column resume is open; Professional Memberships is enabled and contains a unique heading and detail marker.","Open Content. Locate Professional Memberships. Select Move down. Inspect the page, then edit its first detail.","The complete Professional Memberships container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-067","Section movement — Customizer","Critical","iPhone Safari","Move Professional Memberships left from Content customizer","A two-column resume is open; Professional Memberships is enabled and contains a unique heading and detail marker.","Open Content. Locate Professional Memberships. Select Move left. Inspect the page, then edit its first detail.","The complete Professional Memberships container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-068","Section movement — Customizer","High","iPad Safari","Move Professional Memberships right from Content customizer","A two-column resume is open; Professional Memberships is enabled and contains a unique heading and detail marker.","Open Content. Locate Professional Memberships. Select Move right. Inspect the page, then edit its first detail.","The complete Professional Memberships container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-069","Section movement — Customizer","Medium","Linux Chrome","Move Interests up from Content customizer","A two-column resume is open; Interests is enabled and contains a unique heading and detail marker.","Open Content. Locate Interests. Select Move up. Inspect the page, then edit its first detail.","The complete Interests container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-070","Section movement — Customizer","Critical","Tablet Edge","Move Interests down from Content customizer","A two-column resume is open; Interests is enabled and contains a unique heading and detail marker.","Open Content. Locate Interests. Select Move down. Inspect the page, then edit its first detail.","The complete Interests container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-071","Section movement — Customizer","High","Windows Chrome","Move Interests left from Content customizer","A two-column resume is open; Interests is enabled and contains a unique heading and detail marker.","Open Content. Locate Interests. Select Move left. Inspect the page, then edit its first detail.","The complete Interests container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-072","Section movement — Customizer","Medium","Windows Edge","Move Interests right from Content customizer","A two-column resume is open; Interests is enabled and contains a unique heading and detail marker.","Open Content. Locate Interests. Select Move right. Inspect the page, then edit its first detail.","The complete Interests container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-073","Section movement — Customizer","Critical","Windows Firefox","Move Security Clearances up from Content customizer","A two-column resume is open; Security Clearances is enabled and contains a unique heading and detail marker.","Open Content. Locate Security Clearances. Select Move up. Inspect the page, then edit its first detail.","The complete Security Clearances container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-074","Section movement — Customizer","High","macOS Safari","Move Security Clearances down from Content customizer","A two-column resume is open; Security Clearances is enabled and contains a unique heading and detail marker.","Open Content. Locate Security Clearances. Select Move down. Inspect the page, then edit its first detail.","The complete Security Clearances container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-075","Section movement — Customizer","Medium","macOS Chrome","Move Security Clearances left from Content customizer","A two-column resume is open; Security Clearances is enabled and contains a unique heading and detail marker.","Open Content. Locate Security Clearances. Select Move left. Inspect the page, then edit its first detail.","The complete Security Clearances container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-076","Section movement — Customizer","Critical","Android Chrome","Move Security Clearances right from Content customizer","A two-column resume is open; Security Clearances is enabled and contains a unique heading and detail marker.","Open Content. Locate Security Clearances. Select Move right. Inspect the page, then edit its first detail.","The complete Security Clearances container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-077","Section movement — Customizer","High","iPhone Safari","Move Portfolio up from Content customizer","A two-column resume is open; Portfolio is enabled and contains a unique heading and detail marker.","Open Content. Locate Portfolio. Select Move up. Inspect the page, then edit its first detail.","The complete Portfolio container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-078","Section movement — Customizer","Medium","iPad Safari","Move Portfolio down from Content customizer","A two-column resume is open; Portfolio is enabled and contains a unique heading and detail marker.","Open Content. Locate Portfolio. Select Move down. Inspect the page, then edit its first detail.","The complete Portfolio container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-079","Section movement — Customizer","Critical","Linux Chrome","Move Portfolio left from Content customizer","A two-column resume is open; Portfolio is enabled and contains a unique heading and detail marker.","Open Content. Locate Portfolio. Select Move left. Inspect the page, then edit its first detail.","The complete Portfolio container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-080","Section movement — Customizer","High","Tablet Edge","Move Portfolio right from Content customizer","A two-column resume is open; Portfolio is enabled and contains a unique heading and detail marker.","Open Content. Locate Portfolio. Select Move right. Inspect the page, then edit its first detail.","The complete Portfolio container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-081","Section movement — Customizer","Medium","Windows Chrome","Move Training up from Content customizer","A two-column resume is open; Training is enabled and contains a unique heading and detail marker.","Open Content. Locate Training. Select Move up. Inspect the page, then edit its first detail.","The complete Training container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-082","Section movement — Customizer","Critical","Windows Edge","Move Training down from Content customizer","A two-column resume is open; Training is enabled and contains a unique heading and detail marker.","Open Content. Locate Training. Select Move down. Inspect the page, then edit its first detail.","The complete Training container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-083","Section movement — Customizer","High","Windows Firefox","Move Training left from Content customizer","A two-column resume is open; Training is enabled and contains a unique heading and detail marker.","Open Content. Locate Training. Select Move left. Inspect the page, then edit its first detail.","The complete Training container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-084","Section movement — Customizer","Medium","macOS Safari","Move Training right from Content customizer","A two-column resume is open; Training is enabled and contains a unique heading and detail marker.","Open Content. Locate Training. Select Move right. Inspect the page, then edit its first detail.","The complete Training container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-085","Section movement — Customizer","Critical","macOS Chrome","Move Achievements up from Content customizer","A two-column resume is open; Achievements is enabled and contains a unique heading and detail marker.","Open Content. Locate Achievements. Select Move up. Inspect the page, then edit its first detail.","The complete Achievements container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-086","Section movement — Customizer","High","Android Chrome","Move Achievements down from Content customizer","A two-column resume is open; Achievements is enabled and contains a unique heading and detail marker.","Open Content. Locate Achievements. Select Move down. Inspect the page, then edit its first detail.","The complete Achievements container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-087","Section movement — Customizer","Medium","iPhone Safari","Move Achievements left from Content customizer","A two-column resume is open; Achievements is enabled and contains a unique heading and detail marker.","Open Content. Locate Achievements. Select Move left. Inspect the page, then edit its first detail.","The complete Achievements container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-088","Section movement — Customizer","Critical","iPad Safari","Move Achievements right from Content customizer","A two-column resume is open; Achievements is enabled and contains a unique heading and detail marker.","Open Content. Locate Achievements. Select Move right. Inspect the page, then edit its first detail.","The complete Achievements container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
